VTV1,VTV2,VTV3,VTV4,VTV5,VTV5 Tây Nam Bộ,VTV6,VTV7,VTV8,VTV9,VTVCab1,VTVCab17 - Yeah 1,VTVCab2 - PhimViet,VTVCab6 - HayTV,VTVCab7 - D Dramas,VTVLive
00:00 - Thời sự 0h -  ,00:00 - Visa toàn cầu - Nông nghiệp hữu cơ,00:00 -  - ,00:00 - Bản tin tiếng Việt 0h -  ,00:00 - Phim tài liệu - Biến đổi khí hậu ĐBSCL - Tập 1,00:00 - Phim tài liệu - Biến đổi khí hậu ĐBSCL - Tập 1,00:00 -  - ,00:00 -  - ,00:00 -  - ,00:00 - Thể thao -  ,00:00 - Người chồng hai mặt - Tập 15,00:00 -  - ,00:00 -  - ,00:00 - Chân tình bốn phương - Tập 41 - 42,00:00 - Phim truyện - Tình trong biển hận - Tập 48,00:00 - Phim truyện - Sống chung với mẹ chồng – Tập 26
00:15 - Cải cách hành chính - Quảng Ninh chuyển đổi tư duy từ quản lý sang phục vụ DN,00:30 - Phóng sự - Dấu xưa ở làng cổ Lộc Yên,00:20 - Phim truyện - Đơn giản tôi là Maria - Tập 112,00:20 - Sức sống thể thao -  ,00:30 - Bạn nhà nông - Canh tác chanh leo hiệu quả,00:30 - Bạn của nhà nông - Canh tác chanh leo hiệu quả,01:00 - Phim truyện - Trao gửi yêu thương - Tập 63,06:00 - Thức dậy cùng VTV7 -  ,05:00 - Ký sự -  ,00:30 - Sài Gòn đêm thứ Bảy - Vũ khúc tình yêu,01:00 - Sao thế giới - Tập 134,00:30 - Filler show - Chuyện gia đình vàng số 19,00:02 - Phim truyện - Nhịp sinh tử - Tập 26,02:00 - Phim sitcom - Nè biết gì chưa - Tập 21,01:00 - Phim truyện - Nàng vali và chàng sơ mi - Tập 6,00:45 - S-Vietnam - Parkour bước nhảy đường phố
00:30 - Báo chí toàn cảnh -  ,00:45 - Khám phá thế giới - Những cuộc phiêu lưu của Jamy - Tập 4,01:00 - Khám phá thế giới - Thực phẩm làm đẹp da - Tập 10,00:25 - Thời tiết du lịch -  ,01:00 - Khám phá thế giới - Vương quốc xanh - Tập 2,01:00 - Khám phá thế giới - Vương quốc xanh - Tập 2,01:45 - Bảng xếp hạng âm nhạc Hàn Quốc -  ,07:00 - Crack'em up - Số 7,05:15 - Kết nối miền Trung - Tăng cường chống vi phạm pháp luật dịp cuối năm,01:30 - Khám phá thế giới - Toán học lý thú,01:30 - Khám phá Malaysia cùng Martin Yan Phần 2 - Tập 6,00:45 - Bật mí bí mật - Số 20,01:00 - Phim truyện - Săn vàng - Tập 9,02:30 - Ẩm thực - Thực đơn đỉnh - Số 20 -  ,02:00 - Phim truyện - Tình sâu hơn hận - Tập 91,00:50 - Phim tài liệu - Giải cứu người di cư trên Địa Trung Hải
01:00 - Thời sự 1h -  ,01:30 - Phim truyện - Giang Nam tứ đại tài tử - Tập 28,01:20 - Vì bạn xứng đáng -  ,00:30 - Vui sống mỗi ngày -  ,02:00 - Vui sống mỗi ngày -  ,02:00 - Vui sống mỗi ngày -  ,02:15 - Khám phá thế giới - Công nghệ môi trường của Nhật Bản - Phần 1,07:30 - Đường tới trường - Những câu chuyện trên đảo,05:25 - Chào buổi sáng Bông lúa -  ,02:00 - Mùa vàng bội thu - Thương hiệu gạo ST,02:00 - Sao và Sự Kiện - Tập 293,01:00 - Ca nhạc - Ẩm thực quanh ta số 04,02:00 - Phim truyện - Hot girl làm vợ - Tập 6,03:00 - Ca nhạc - VZ Playlist - Tập 21,03:00 - Phim truyện - Tình trong biển hận - Tập 49,01:40 - Chuyện đêm muộn - Chuyện đêm muộn - 06/10/2017
01:10 - Diễn đàn Văn học nghệ thuật - Phong tặng danh hiệu nghệ nhân,02:25 - Đẹp 24/7 - Bí quyết trang điểm như sao,02:10 - Chuyện đêm muộn - Nét đẹp đàn ông,01:15 - Người Việt bốn phương -  ,02:45 - Kiến thức & cuộc sống -  ,02:45 - Kiến thức và cuộc sống -  ,03:00 - Hôm nay ai đến? - Số 3,07:45 - Chuyện trường tôi - Trường học nông trại,06:00 - Chào ngày mới -  ,02:20 - Cơm ấm nhà mình -  ,02:30 - Dối tình - Tập 5,01:30 - 360 độ thời trang - Số 04,03:00 - Phim truyện - Hoàng hôn dịu dàng - Tập 47,04:00 - Định luật tình yêu - Tập 21,04:00 - Phim truyện - Quả báo - Tập 19,02:25 - Muôn màu Showbiz - Muôn màu Showbiz - 23/7/2017
02:00 - Thời sự 2h -  ,02:30 - Khám phá thế giới - Ánh sáng và bóng tối - Phần 1,"03:00 - Phim truyện - Quan huyện Trịnh Bản Kiều - Tập 5, 6",01:30 - Phim truyện - Nữ cảnh sát tập sự - Tập 31,"03:00 - Phim hoạt hình - 12 con giáp - Tập 59, 60","03:00 - Phim hoạt hình - 12 con giáp - Tập 59, 60",03:30 - Thể thao - Tạp chí thể thao thế giới,08:00 - Tiếng Anh THCS - Số 17,06:30 - Thông tin - Thông báo -  ,02:30 - Phong cách trẻ -  ,03:30 - Sao thế giới - Tập 134,02:00 - Gameshow - Lớp học vui nhộn nhí số 16,04:00 - Phim truyện - Nhà trọ có 4 cô chiêu - Tập 38,05:00 - Chân tình bốn phương - Tập 41 - 42,05:00 - Phim truyện - Khi mẹ ra tay - Tập 17,03:10 - Phim truyện - Sống chung với mẹ chồng – Tập 26
02:10 - Phim truyện - Vẫn là vợ chồng - Tập 29,03:15 - Người nông dân hiện đại - Hương lúa miền Tây,04:30 - Cuộc chiến mỹ vị - Tập 4,02:15 - Tinh hoa nghề Việt -  ,03:30 - Ca nhạc -  ,03:30 - Ca nhạc -  ,04:00 - Phim truyện - Nữ cảnh sát tập sự - Tập 30,08:30 - Thế giới quanh ta - Số 7,06:35 - Phim truyện - Chung một mái nhà - Tập 13,03:00 - Gặp nhau để cười -  ,04:00 - Chuyện khó đỡ - Tập 62,02:30 - Gameshow - Chuyện gia đình vàng số 19,05:00 - Phim truyện - Hãy nói về tình yêu - Tập 31,07:00 - Đội đặc nhiệm CID - Tập 21,06:00 - Phim truyện - Tình sâu hơn hận - Tập 92,03:55 - Talk Vietnam - Vẽ lên bầu trời
03:00 - Thời sự 3h -  ,04:00 - Chân trời khoa học -  ,06:00 - Nhịp đập 360 độ thể thao -  ,02:30 - Giai điệu cuộc sống - Tình yêu gọi em,04:00 - Phụ nữ Việt - Có nên cho trẻ tự lập sớm - Phần 3 - Tập 24,04:00 - Phụ nữ Việt - Có nên cho trẻ tự lập sớm,04:45 - Khám phá Việt Nam - Làng cổ Hùng Lô,09:00 - Phim hoạt hình - Tayo xe buýt bé nhỏ - Tập 10,07:20 - Ký sự -  ,03:10 - Nhìn ra thế giới - Giờ cao điểm ở Nam cực,05:00 - Dấu thập vàng - Tập 7,02:45 - Bật mí bí mật - Số 20,06:00 - Phim truyện - Nhịp sinh tử - Tập 27,08:00 - Ca nhạc - VZ Playlist - Tập 21,07:00 - Phim truyện - Tình trong biển hận - Tập 50,04:40 - Expat Living - Chiếc hộp làm đẹp của cô gái người Pháp
03:10 - Phim truyện - Đánh tráo số phận - Tập 4,04:30 - Khám phá thế giới - Thực phẩm làm đẹp da – Tập 16,06:45 - MV yêu thích - Về quê,02:55 - Trong sáng cùng tiếng Việt -  ,04:15 - Việt Nam - Đất nước - Con người - Có nên cho trẻ tự lập sớm - Phần 3,04:15 - Việt Nam - Đất nước - Con người - Làng lụa Nha Xá,05:00 - Khám phá thế giới - Thế giới hoang dã - Phần 3: Loài rắn,09:15 - Phim hoạt hình - Chú robot của tôi - Tập 10,07:35 - Ca nhạc - Lời đại ngàn,03:55 - Bay bổng Phương Nam - Non nước hữu tình,06:00 - Sao thế giới - Tập 134,03:00 - Ca nhạc - Yeah1 on stage số 05,07:00 - Phim truyện - Săn vàng - Tập 10,09:00 - Phim sitcom - Nè biết gì chưa - Tập 21,08:00 - Phim truyện - Quả báo - Tập 20,05:10 - Culture Mosaic - Culture Mosaic - 09/9/2017
04:00 - Thời sự 4h -  ,05:00 - An sinh xã hội - Lao động tự do,06:55 - Quà tặng cuộc sống - Sống chung với mẹ chồng,03:00 - Bản tin tiếng Pháp -  ,04:30 - Phim truyện - Vì anh yêu em - Tập 30,04:30 - Phim truyện - Vì anh yêu em - Tập 30,05:30 - Hôm nay ai đến? - Số 4,09:30 - Trường học VTV7 (Tiểu học) - Cuốn sách của em - Số 4: 7 thói quen để trở thành; 5 từ mới tiếng Anh mỗi ngày - Số 3: Bệnh viện,08:00 - Phim truyện - Sức nặng tình thâm - Tập 23,04:10 - Cây thuốc quý quanh ta -  ,06:30 - Sao và Sự Kiện - Tập 293,04:00 - Gameshow - Gia đình tài tử số 60,08:00 - Phim truyện - Hot girl làm vợ - Tập 7,09:30 - Ẩm thực - Thực đơn đỉnh - Số 20 -  ,09:00 - Phim truyện - Nàng vali và chàng sơ mi - Tập 7,05:40 - Fine Cuisine - Món quà của rừng ngập mặn Hoành Bồ
