VTV1,VTV2,VTV3,VTV4,VTV5,VTV5 Tây Nam Bộ,VTV6,VTV7,VTV8,VTV9,VTVCab1,VTVCab17 - Yeah 1,VTVCab2 - PhimViet,VTVCab6 - HayTV,VTVCab7 - D Dramas,VTVCab8 - BiBi,VTVLive
00:00 - Thời sự 0h -  ,00:00 - Visa toàn cầu -  ,00:00 -  - ,00:00 - Bản tin tiếng Việt 0h -  ,00:00 -  - ,00:00 - Phim tài liệu - Nước mắm Việt,00:00 -  - ,00:00 -  - ,00:00 -  - ,00:00 - Thể thao -  ,00:00 - Người chồng hai mặt - Tập 25,00:00 -  - ,00:00 -  - ,00:00 - Chân tình bốn phương - Tập 69 - 70,00:00 - Phim truyện - Tình trong biển hận - Tập 62,00:00 -  - ,00:00 - Phim truyện - Sống chung với mẹ chồng - Tập 26
00:15 - Cải cách hành chính -  ,00:30 - Phóng sự - Hà Giang mùa nước đổ,00:20 - Phim truyện - Đơn giản tôi là Maria - Tập 126,00:20 - Sức sống thể thao -  ,00:03 - Phim tài liệu - Nước mắm Việt,00:45 - Kiến thức cộng đồng - Người Dao ở Ba Vì,01:00 - Phim truyện - Nữ cảnh sát tập sự - Tập 43,06:00 - Thức dậy cùng VTV7 -  ,05:00 - Ký sự -  ,00:30 - Sài Gòn đêm thứ Bảy - Yêu thương mong manh,01:00 - Sao thế giới - Tập 136,00:30 - Chuyện gia đình vàng - Số 15,00:02 - Phim truyện - Nhịp sinh tử - Tập 40,02:00 - Phim sitcom - Nè biết gì chưa - Tập 96,01:00 - Phim truyện - Nàng vali và chàng sơ mi - Tập 20,06:00 - Ngôi sao Bibi - Số 11,00:45 - S-Vietnam - Parkour bước nhảy đường phố
00:30 - Báo chí toàn cảnh -  ,00:45 - Khám phá thế giới - Chúng ta đã tạo ra thế giới như thế nào? – Tập 2,01:00 - Khám phá thế giới - Nghệ sĩ đàn tranh Phương Bảo,00:25 - Thời tiết du lịch -  ,00:45 - Kiến thức cộng đồng - Người Dao ở Ba Vì,01:00 - Khám phá thế giới - Những vườn quốc gia nổi tiếng thế giới - Phần 2,01:45 - Bảng xếp hạng âm nhạc Hàn Quốc -  ,07:00 - Crack'em up - Số 3,05:15 - Kết nối miền Trung - Đảm bảo ATGT dịp tết,01:30 - Khám phá thế giới - Jeju - hòn đảo xanh,01:30 - Khám phá Malaysia cùng Martin Yan Phần 2 - Tập 8,00:45 - Bật mí bí mật - Số 16,01:00 - Phim truyện - Săn vàng - Tập 23,02:30 - Hồn Việt - Tập 11,02:00 - Phim truyện - Giọt lệ cứu mạng - Tập 10,06:30 - Phim hoạt hình - Chú chó biết nói - Tập 10,00:50 - Phim tài liệu - Giải cứu người di cư trên Địa Trung Hải
01:00 - Thời sự 1h -  ,01:30 - Phim truyện - Giang Nam tứ đại tài tử - Tập 42,01:20 - Vì bạn xứng đáng -  ,00:30 - Vui sống mỗi ngày -  ,01:00 - Khám phá thế giới - Những vườn quốc gia nổi tiếng thế giới - Phần 2,02:00 - Vui sống mỗi ngày -  ,02:15 - Khám phá thế giới - Con người và vũ trụ - Tập 2,07:30 - Học cùng con - Số 12,05:25 - Chào buổi sáng Bông lúa -  ,02:00 - Mùa vàng bội thu - Xuân về trên đất cù lao,02:00 - Sao và Sự Kiện - Tập 295,01:00 - Acoustic live - Số 15,02:00 - Phim truyện - Hot girl làm vợ - Tập 20,03:00 - Ca nhạc - VZ Playlist - Tập 98,03:00 - Phim truyện - Liêu trai 4 - Tập 1,07:00 - Nhảy cùng BiBi - Số 7,01:40 - Chuyện đêm muộn - Chuyện đêm muộn - 06/10/2017
01:10 - Diễn đàn Văn học nghệ thuật - Số 3: Tinh giản biên chế ngành sân khấu,02:25 - Đẹp 24/7 - Phong cách thời trang Miranda Kerr,02:10 - Chuyện đêm muộn - Hương vị tết truyền thống,01:15 - Người Việt bốn phương -  ,02:00 - Vui sống mỗi ngày -  ,02:45 - Kiến thức và cuộc sống -  ,03:00 - Ghế không tựa - Số 6,07:45 - Math Dorm - Số 9,06:00 - Chào ngày mới -  ,02:20 - Bếp quê -  ,02:30 - Dối tình - Tập 19,02:00 - Lớp học vui nhộn nhí - Số 12,03:00 - Phim truyện - NỢ ân tình - Tập 9,04:00 - Tình yêu Chocolate - Tập 04,04:00 - Phim truyện - Quả báo - Tập 3,07:30 - Phim hoạt hình - Thế giới của Zou 20,02:25 - Muôn màu Showbiz - Muôn màu Showbiz - 23/7/2017
02:00 - Thời sự 2h -  ,02:30 - Khám phá thế giới - Sự kỳ diệu của phỏng sinh học - Phần 1,"03:00 - Phim truyện - Quan huyện Trịnh Bản Kiều - Tập 33, 34",01:30 - Phim truyện - Nữ cảnh sát tập sự - Tập 39,02:45 - Kiến thức & cuộc sống -  ,"03:00 - Phim hoạt hình - 12 con giáp - Tập 87, 88",03:30 - Thể thao - Tạp chí thể thao thế giới,08:00 - Tiếng Anh THCS - Số 31,06:30 - Thông tin - Thông báo -  ,02:30 - Phim tài liệu - Những bông hồng lửa,03:30 - Sao thế giới - Tập 136,02:30 - Chuyện gia đình vàng - Số 15,04:00 - Phim truyện - Kẻ thù phụ nữ - Tập 13,05:00 - Chân tình bốn phương - Tập 69 - 70,05:00 - Phim truyện - Cứ lạ đi em ! - Tập 9,08:00 - Phim hoạt hình - Lũ trẻ tinh nghịch - Tập 19,03:10 - Phim truyện - Sống chung với mẹ chồng – Tập 26
02:10 - Phim truyện - Vẫn là vợ chồng - Tập 43,03:15 - Người nông dân hiện đại - Đồng xanh ngày mới,04:30 - Cuộc chiến mỹ vị - Tập 6,02:15 - Tinh hoa nghề Việt - Bánh chưng đen xứ Mường,"03:00 - Phim hoạt hình - 12 con giáp - Tập 87, 88",03:30 - Ca nhạc -  ,04:00 - Phim truyện - Ngự lâm không kiếm - Tập 1,08:30 - Thế giới quanh ta - Số 6,06:35 - Phim truyện - Chung một mái nhà - Tập 27,03:00 - Gặp nhau để cười -  ,04:00 - Chuyện khó đỡ - Tập 66,02:45 - Bật mí bí mật - Số 16,05:00 - Phim truyện - Yêu trong thù hận - Tập 9,07:00 - Đội đặc nhiệm CID - Tập 35,06:00 - Phim truyện - Giọt lệ cứu mạng - Tập 11,08:30 - Phim hoạt hình - Cô bé bướng bỉnh - Tập 22,03:55 - Talk Vietnam - Vẽ lên bầu trời
03:00 - Thời sự 3h -  ,04:00 - Chân trời khoa học -  ,06:00 - Nhịp đập 360 độ thể thao -  ,02:30 - Giai điệu cuộc sống - Mai vàng trước ngõ,03:30 - Ca nhạc -  ,"04:00 - Đi đâu, ăn gì? - Muôn nẻo Café Đà Lạt",04:45 - Khám phá Việt Nam - Khu rừng cấm bên dòng Nậm Hon,09:00 - Phim hoạt hình - Tayo xe buýt bé nhỏ - Tập 14,07:20 - Ký sự -  ,03:10 - Nhìn ra thế giới - Hành trình cuối cùng của chú hổ gãy đuôi,05:00 - Dấu thập vàng - Tập 21,03:00 - Yeah1 on stage - Số 01,06:00 - Phim truyện - Nhịp sinh tử - Tập 41,08:00 - Ca nhạc - VZ Playlist - Tập 99,07:00 - Phim truyện - Liêu trai 4 - Tập 2,09:00 - Nhảy cùng BiBi - Số 26,04:40 - Expat Living - Chiếc hộp làm đẹp của cô gái người Pháp
03:10 - Phim truyện - Đánh tráo số phận - Tập 10,04:30 - Khám phá thế giới - Sức mạnh kỳ diệu của con người - Phần 4,06:45 - MV yêu thích - MV yêu thích - Thì thầm mùa xuân,02:55 - Trong sáng cùng tiếng Việt -  ,04:00 - Đi đâu ? ăn gì ? - Muôn nẻo cà phê Đà Lạt,04:30 - Phim truyện - Tết vui phết - Tập 1,05:00 - Khám phá thế giới - Trái đất kêu cứu - Phần 4: Nạn khai thác gỗ trái phép,09:15 - Phim hoạt hình - Chú rô bốt của tôi - Tập 14,07:35 - Ca nhạc - Tình xuân,03:55 - Sân khấu hài - 49 gặp 50,06:00 - Sao thế giới - Tập 136,04:00 - Gia đình tài tử - Số 56,07:00 - Phim truyện - Săn vàng - Tập 24,09:00 - Phim sitcom - Nè biết gì chưa - Tập 96,08:00 - Phim truyện - Quả báo - Tập 4,09:30 - Phim hoạt hình - Thuyền trưởng Flinn và đội quận hải tặc - Tập 1,05:10 - Culture Mosaic - Culture Mosaic - 09/9/2017
04:00 - Thời sự 4h -  ,05:00 - Kỹ năng tham gia giao thông - Phòng ngừa tai nạn giao thông ngày tết,06:55 - Quà tặng cuộc sống - Cậu bé nhặt ve chai,03:00 - Bản tin tiếng Pháp -  ,04:30 - Phim truyện - Tết vui phết - Tập 1,05:15 - Khám phá Việt Nam -  ,05:30 - Hôm nay ai đến? - Số 8,09:30 - Trường học VTV7 (Tiểu học) - Cuốn sách của em - Số 6: Bộ sách Cerdic; 5 từ mới tiếng Anh mỗi ngày - Số 5: Gia vị,08:00 - Phim truyện - Tần nương thất - Tập 1,04:10 - Cây thuốc quý quanh ta -  ,06:30 - Sao và Sự Kiện - Tập 295,04:30 - Siêu thị âm nhạc - Số 116,08:00 - Phim truyện - Hot girl làm vợ - Tập 21,09:30 - Hồn Việt - Tập 11,09:00 - Phim truyện - Nàng vali và chàng sơ mi - Tập 21,10:00 - Phim hoạt hình - Những chuyến phiêu lưu ở vùng đất vỏ sò - Tập 38,05:40 - Fine Cuisine - Món quà của rừng ngập mặn Hoành Bồ
