VTV1,VTV2,VTV3,VTV4,VTV5,VTV5 Tây Nam Bộ,VTV5 Tây Nguyên,VTV6,VTV7,VTV8,VTV9,VTVCab1,VTVCab17 - Yeah 1,VTVCab2 - PhimViet,VTVCab6 - HayTV,VTVCab7 - D Dramas,VTVCab8 - BiBi
00:00 - Thời sự 0h -  ,00:00 - Sắc màu các dân tộc - Chuyện kể ở Na Rì,00:00 - Phim truyện - Bước tới hạnh phúc - Tập 17,00:00 - Bản tin tiếng Việt 0h -  ,00:00 - Phim tài liệu - Cây đàn bẹp,00:00 - Phim tài liệu - Cây đàn bẹp,00:00 - Phim tài liệu - Cây đàn bẹp,00:00 -  - ,00:00 -  - ,00:00 -  - ,00:00 - Thể thao -  ,00:00 - Chỉ yêu mình em - Tập 50,00:00 - 360 độ thời trang - Số 19,00:00 -  - ,00:00 - Chân tình bốn phương - Tập 253 - 254,00:00 - Phim truyện - Cẩm tú duyên - Tập 3,00:00 -  - 
00:15 - Lao động và công đoàn - Phát triển Đảng trong doanh nghiệp tư nhân,00:30 - Phóng sự - Sự sống nảy mầm từ những hốc đá,"00:50 - Khám phá thế giới - 20 tác phẩm nghệ thuật của tự nhiên  - Phần  17:  ""Vườn quốc gia Plitvice""",00:20 - Sức sống thể thao -  ,00:30 - Bạn nhà nông - Người thổi hồn cho máy,00:30 - Bạn của nhà nông - Người thổi hồn cho máy,00:30 - Bạn của nhà nông - Người thổi hồn cho máy,01:00 - Phim truyện - Giao mùa - Tập 23,06:00 - Thức dậy cùng VTV7 -  ,05:00 - Ký sự -  ,00:30 - Hương tình yêu -  ,01:00 - Chuyện khó đỡ - Tập 91,00:30 - Filler show -  ,00:02 - Phim truyện - Tình là dây oan  - Tập 20,02:00 - Phim sitcom - Nè biết gì chưa - Tập 219,01:00 - Phim truyện - Hoa trong ngục - Tập 14,"06:00 - Nhảy cùng BiBi - Bob, chàng thợ xây chăm chỉ - Tập 52"
00:30 - Việc tử tế -  ,00:45 - Khám phá thế giới - Bên rìa Alaska – Tập 5,01:20 - Vui - khỏe- có ích -  ,00:25 - Thời tiết du lịch -  ,01:00 - Khám phá thế giới - Lăng kính thiên nhiên - Phần 1,01:00 - Khám phá thế giới - Lăng kính thiên nhiên - Phần 1,01:00 - Khám phá thế giới - Biến đổi khi hậu với động vật - Phần 2: Loài nhím gai,01:45 - Bảng xếp hạng âm nhạc Hàn Quốc -  ,07:00 - Crack'em up - Số 1,05:15 - Kết nối miền Trung -  ,00:40 - Siêu mẫu nhí -  ,02:00 - Sao thế giới - Tập 148,00:45 - Chuyện gia đình vàng - Số 33,01:00 - Phim truyện - Vòng vây hoa hồng  - Tập 17,02:30 - Hành trình khám phá - Số 14,02:00 - Phim truyện - Tây thi tình sử - Tập 28,06:30 - Phim hoạt hình - Pokemon - Phần 1 - Tập 41
01:00 - Thời sự 1h -  ,01:30 - Phim truyện - Chuyện tình nàng Tiểu Thiện - Tập 14,02:10 - Chuyện đêm muộn - Hiện thực hóa đam mê,00:30 - Vui sống mỗi ngày -  ,02:00 - Vui sống mỗi ngày -  ,02:00 - Vui sống mỗi ngày -  ,02:00 - Vui sống mỗi ngày -  ,"02:15 - Khám phá thế giới - Hành tinh trái đất - Mùa 2, Tập 5 ""Vùng đồng cỏ""",07:30 - Đường đến trường - Kiên quyết,05:25 - Chào buổi sáng Bông lúa -  ,01:00 - Thanh xuân gia đình -  ,02:30 - Tình sâu hơn hận - Tập 57,01:00 - Yeah1 on stage - Số 20,02:00 - Phim truyện - Ba ơi! Mẹ có về không?   - Tập 23,03:00 - Ca nhạc - VZ Playlist - Tập 112,03:00 - Phim truyện - Cẩm tú duyên - Tập 4,07:00 - Nhảy cùng BiBi - Số 39
01:10 - Talk VietNam - Ron Haeberle và câu chuyện Mỹ Lai,02:30 - Khám phá thế giới - Con tàu trái đất - Tập 1: Nhiên liệu,"03:00 - Phim truyện - Mãi mãi tuổi thanh xuân - Tập 61, 62",01:15 - Người Việt bốn phương -  ,02:45 - Thông tin chính sách và pháp luật -  ,02:45 - Thông tin chính sách và pháp luật -  ,"03:00 - Phim hoạt hình - Wizard Mutterl - Pháp sư giấu mặt - Tập 35,36",03:00 - Hôm nay ai đến? - Số 33,07:45 - Đổi mới sáng tạo - Số 12,06:00 - Chào ngày mới -  ,01:30 - Khám phá thế giới - Vườn quốc gia nước Mỹ,03:30 - Khám phá Malaysia cùng Martin Yan Phần 2 - Tập 7,02:00 - Bé làm người lớn - Số 25,03:00 - Phim truyện - Sóng gió gia đình  - Tập 22,04:00 - Mối tình lặng lẽ - Tập 16,04:00 - Phim truyện - Nhà tôi là nhất - Tập 49,07:30 - Phim hoạt hình - Huyền thoại một anh hùng - Tập 12
02:00 - Thời sự 2h -  ,03:15 - Bạn của nhà nông -  ,05:10 - Vì bạn xứng đáng -  ,01:30 - Phim truyện - Nhà voi còi cuối phố - Tập 15,"03:00 - Phim hoạt hình - Turtle Hero - Dũng sĩ rùa - Tập 37, 38","03:00 - Phim hoạt hình - Turtle Hero - Dũng sĩ rùa - Tập 37, 38",03:30 - Ca nhạc -  ,03:30 - Thể thao - NBA và những làn gió mới,08:00 - Chinh phục kỳ thi vào lớp 10 -  ,06:30 - Thông tin - Thông báo -  ,02:00 - Việt Nam Logistics - Logistics ĐBSCL – trăn trở nguồn nhân lực,04:00 - Sao và sự kiện - Tập 307,02:30 - Gameshow -  ,04:00 - Phim truyện - Hoàng hôn dịu dàng  - Tập 4,05:00 - Chân tình bốn phương - Tập 253 - 254,05:00 - Phim truyện - Người tình của tôi - Tập 67,08:00 - Phim hoạt hình - Messy hay thắc mắc - Tập 7
02:10 - Phim truyện - Hơn cả tình yêu - Tập 42,04:00 - Vào bếp khó gì - Bánh Tôm Hồ Tây,06:00 - Nhịp đập 360 độ thể thao -  ,02:15 - Tiểu phẩm hài - Cười để ngẫm: Nói không với tiêu cực,03:30 - Ca nhạc -  ,03:30 - Ca nhạc -  ,04:00 - Sinh ra từ làng - Nguyễn Đình Thiện - Triệu phú nuôi trâu,04:00 - Phim truyện - Làm chồng đại gia - Tập 19,09:00 - Phim hoạt hình - Boing biệt đội cứu hộ - Tập 14,06:35 - Phim truyện - Vua khách sạn - Tập 39,02:20 - Cơm ấm nhà mình -  ,04:30 - Sao thế giới - Tập 148,02:45 - Chuyện gia đình vàng - Số 33,05:00 - Phim truyện - Túm cổ đại gia  - Tập 32,07:00 - Đội đặc nhiệm CID - Tập 127,06:00 - Phim truyện - Tây thi tình sử - Tập 29,08:30 - Phim hoạt hình - Sam siêu đẳng - Tập 34
03:00 - Thời sự 3h -  ,04:15 - Vì cộng đồng - Hỗ trợ bà con sau thiên tai,06:45 - S- Việt Nam - Vịnh Xuân Đài sự ưu ái của biển,02:30 - Giai điệu cuộc sống - Ca khúc nhạc phim,04:00 - Sinh ra từ làng - Nguyễn Đình Thiện - triệu phú nuôi trâu,04:00 - Sinh ra từ làng - Nguyễn Đình Thiện - Triệu phú nuôi trâu,04:30 - Phim truyện - Tôi thuê một người tình - Tập 28,04:45 - Khám phá Việt Nam - Trò Ngô làng Giàng,09:10 - Phim hoạt hình - Đội thám hiểm mỹ thuật - Tập 19,07:20 - Ký sự -  ,02:30 - Luôn có cách để yêu thương - Phía sau người đàn ông,05:00 - Mật danh K2 - Tập 16,03:00 - Siêu thị âm nhạc - Số 134,06:00 - Phim truyện - Tình là dây oan  - Tập 21,08:00 - Ca nhạc - VZ Playlist - Tập 113,07:00 - Phim truyện - Cẩm tú duyên - Tập 5,09:00 - Phim hoạt hình - Bí ẩn đại dương sâu thẳm - Tập 1
03:10 - Không gian văn hóa nghệ thuật -  ,04:30 - Khám phá thế giới - Thị trấn của loài gấu bắc cực - Tập 4,06:55 - Quà tặng cuộc sống - Dưới vực sâu,02:55 - Trong sáng cùng tiếng Việt - Số 45,04:30 - Phim truyện - Cô nàng xinh đẹp - Tập 6,04:30 - Phim truyện - Cô nàng xinh đẹp - Tập 6,05:15 - Khám phá Việt nam -  ,"05:00 - Khám phá thế giới - 20 tác phẩm nghệ thuật của tự nhiên - Tập 5 ""Vườn quốc gia Andasibe""",09:30 - Phóng viên cấp 1 - Số 20,07:35 - Công lý mở - Phòng vệ chính đáng,03:00 - Gặp nhau để cười -  ,06:00 - Khám phá Malaysia cùng Martin Yan Phần 2 - Tập 7,04:00 - Khám phá biển đảo - Số 75,07:00 - Phim truyện - Vòng vây hoa hồng  - Tập 18,09:00 - Phim sitcom - Nè biết gì chưa - Tập 219,08:00 - Phim truyện - Nhà tôi là nhất - Tập 50,09:30 - Phim hoạt hình - Coconut - Chú rồng tinh nghịch - Tập 3
04:00 - Thời sự 4h -  ,05:00 - Cùng bạn chữa bệnh - Chăm sóc sức khỏe phòng ngừa ung thư tái phát,07:00 - Cà phê sáng -  ,03:00 - Bản tin tiếng Pháp -  ,05:15 - Khám phá Việt Nam -  ,05:15 - Khám phá Việt Nam -  ,05:30 - Chương trình tiếng Giẻ Triêng -  ,05:30 - Hôm nay ai đến? - Số 34,10:00 - Trường học VTV7 (Mầm non) - Lớp học cầu vồng - Số 3: Đại dương,08:00 - Phim truyện - Sóng gió gia đình - Tập 27,03:10 - Nhìn ra thế giới - Theo dấu những loài vật nguy hiểm,06:30 - Sao và sự kiện - Tập 307,04:30 - Yeah1 on stage - Số 20,08:00 - Phim truyện - Ba ơi! Mẹ có về không?  - Tập 24,09:30 - Hành trình khám phá - Số 14,09:00 - Phim truyện - Hoa trong ngục - Tập 15,10:00 - Phim hoạt hình - Cô bé bướng bỉnh - Tập 10
