VTV1,VTV2,VTV3,VTV4,VTV5,VTV5 Tây Nam Bộ,VTV5 Tây Nguyên,VTV6,VTV7,VTV8,VTV9,VTVCab1,VTVCab2 - PhimViet,VTVCab6 - HayTV,VTVCab7 - D Dramas,VTVCab8 - BiBi
00:00 - Thời sự 0h -  ,00:00 - KHGD Quốc phòng -  ,00:00 - Phim truyện - Bước tới hạnh phúc - Tập 27,00:00 - Bản tin tiếng Việt 0h -  ,00:00 - Phim tài liệu - Nhật ký miền địa đàng,00:00 - Phim tài liệu - Nhật ký miền địa đàng,00:00 - Phim tài liệu - Nhật ký miền địa đàng,00:00 -  - ,00:00 -  - ,00:00 -  - ,00:00 - Thể thao -  ,00:00 - Chuyện khó đỡ - Tập 93,00:00 -  - ,00:00 - Chân tình bốn phương - Tập 273 - 274,00:00 - Phim truyện - Cẩm tú duyên - Tập 13,00:00 -  - 
00:15 - Chuyện nhà nông với nông nghiệp - Đổi thay từ nông nghiệp 4.0,00:30 - Phóng sự - Trò chơi gọi trăng của người Thái Tương Dương,"00:50 - Khám phá thế giới - Thị trấn của loài gấu bắc cực - Tập 7: ""Vận chuyển bằng trực thăng""",00:20 - Sức sống thể thao -  ,00:30 - Bạn nhà nông - Nuôi tôm nhà kính,00:30 - Bạn của nhà nông - Nuôi tôm nhà kính,00:30 - Bạn nhà nông - Nuôi tôm nhà kính,01:00 - Phim truyện - Giao mùa - Tập 33,06:00 - Thức dậy cùng VTV7 -  ,05:00 - Ký sự -  ,00:30 - Biệt đội tất tần tật -  ,01:00 - Sao thế giới - Tập 149,00:02 - Phim truyện - Tình là dây oan  - Tập 30,02:00 - Phim sitcom - Nè biết gì chưa - Tập 209,01:00 - Phim truyện - Hoa trong ngục - Tập 24,06:00 - Phim hoạt hình - Bí ẩn đại dương sâu thẳm  - Tập 7
00:30 - Trang địa phương -  ,00:45 - Khám phá thế giới - Những sáng kiến thay đổi thế giới - Phần 3,01:20 - Chuẩn cơm mẹ nấu -  ,00:25 - Thời tiết du lịch -  ,01:00 - Khám phá thế giới - Con đường cổ xưa - Tập 3,01:00 - Khám phá thế giới - Con đường cổ xưa - Tập 3,01:00 - Khám phá thế giới - Sắc màu Nhật Bản: Tàu Shinkangsen,01:45 - Bảng xếp hạng âm nhạc Hàn Quốc -  ,07:00 - Crack'em up - Số 11,05:15 - Kết nối miền Trung -  ,01:00 - Đấu trường ẩm thực -  ,01:30 - Khám phá Malaysia cùng Martin Yan Phần 2 - Tập 8,01:00 - Phim truyện - Vòng vây hoa hồng  - Tập 27,02:30 - Nghề xưa còn lại - Số 01,02:00 - Phim truyện - Tây thi tình sử - Tập 38,06:30 - Phim hoạt hình - Pokemon  - Phần 1  - Tập 51
01:00 - Thời sự 1h -  ,01:30 - Phim truyện - Chuyện tình nàng Tiểu Thiện - Tập 24,02:10 - Chuyện đêm muộn - Chọn đi đường khó,00:30 - Đường lên đỉnh Olympia -  ,02:00 - Vui sống mỗi ngày -  ,02:00 - Vui sống mỗi ngày -  ,02:00 - Vui sống mỗi ngày -  ,02:15 - Khám phá thế giới - Hồ sơ chưa giải mã - Tập 7,07:30 - Đường đến trường - Kiên quyết,05:25 - Chào buổi sáng Bông lúa -  ,01:20 - Cẩm nang sức khỏe -  ,02:00 - Sao và sự kiện - Tập 308,02:00 - Phim truyện - Ba ơi! Mẹ có về không?  - Tập 33,03:00 - Ca nhạc - VZ Playlist - Tập 102,03:00 - Phim truyện - Cẩm tú duyên - Tập 14,07:00 - Phim hoạt hình - Lucas & Emily  - Tập 11
01:10 - Quốc gia khởi nghiệp -  ,02:15 - Góc nhìn công thương - Chuyện mẫu mã bao bì,"03:00 - Phim truyện - Mãi mãi tuổi thanh xuân - Tập 81, 82",01:15 - Người Việt bốn phương -  ,02:45 - Kiến thức và cuộc sống -  ,02:45 - Kiến thức và cuộc sống -  ,"03:00 - Phim hoạt hình - T.Pang Rescue Titi & điệp vụ giải cứu trái đất - Tập 03, 04",03:00 - Hôm nay ai đến? - Số 37,07:45 - Đổi mới sáng tạo - Số 15,06:00 - Chào ngày mới -  ,01:30 - Khám phá thế giới - Vườn quốc gia nước Mỹ,02:30 - Tình sâu hơn hận - Tập 67,03:00 - Phim truyện - Sóng gió gia đình  - Tập 32,04:00 - Nghịch cảnh - Tập 03,04:00 - Phim truyện - Nhà tôi là nhất - Tập 59,07:30 - Phim hoạt hình - Huyền thoại một anh hùng  - Tập 22
01:40 - Khám phá Việt Nam - Khu di tích lịch sử cụ phó bảng Nguyễn Sinh Sắc,02:25 - Đẹp 24/7 - Sắc đen,04:30 - Đường lên đỉnh Olympia - Đường lên đỉnh Olympia C38,01:30 - Sân khấu - Vở chèo: Kỳ nữ Hải Đông,"03:00 - Phim hoạt hình - Winner và cậu bé vàng - Tập 5, 6","03:00 - Phim hoạt hình - Winner và cậu bé vàng - Tập 5, 6",03:30 - Ca nhạc -  ,03:30 - Thể thao - Những bà mẹ trong thể thao,08:00 - Chinh phục kỳ thi vào lớp 10 -  ,06:30 - Thông tin - Thông báo -  ,02:00 - Canh tác thông minh -  ,03:30 - Khám phá Malaysia cùng Martin Yan Phần 2 - Tập 8,04:00 - Phim truyện - Hoàng hôn dịu dàng  - Tập 14,05:00 - Chân tình bốn phương - Tập 273 - 274,05:00 - Phim truyện - Con riêng của mẹ - Tập 2,08:00 - Phim hoạt hình - Messy hay thắc mắc  - Tập 17
02:00 - Thời sự 2h -  ,02:30 - Khám phá thế giới - Sứ giả của thời trang - Tập 1,05:10 - Vương miện thần kỳ -  ,03:00 - Bản tin tiếng Pháp -  ,03:30 - Ca nhạc -  ,03:30 - Ca nhạc -  ,04:00 - Sắc màu các dân tộc - Điệu hát qua những chiếc ống,04:00 - Phim truyện - Làm chồng đại gia - Tập 26,09:00 - Phim hoạt hình - Tayo xe buýt bé nhỏ - Tập 39,06:35 - Phim truyện - Nỗi lòng mẹ kế - Tập 1,02:20 - Cơm ấm nhà mình -  ,04:00 - Sao và sự kiện - Tập 308,05:00 - Phim truyện - Ranh giới mong manh  - Tập 10,07:00 - Đội đặc nhiệm CID - Tập 137,06:00 - Phim truyện - Kẻ phụ tình - Tập 1,08:30 - Phim hoạt hình - Sam siêu đẳng  - Tập 44
02:10 - Phim truyện - Thế lực cạnh tranh - Tập 9,03:15 - Bạn của nhà nông -  ,06:00 - Nhịp đập 360 độ thể thao -  ,03:30 - Núi sông bờ cõi - Bảo tồn dân tộc Rục Quảng Bình,04:00 - Sắc màu các dân tộc - Điệu hát qua chiếc ống,04:00 - Sắc màu các dân tộc -  ,04:30 - Phim truyện - Hạnh phúc duyên đưa - Tập 07,04:45 - Khám phá Việt Nam - Khu di tích lịch sử cụ phó bảng Nguyễn Sinh Sắc,09:10 - Phim hoạt hình - Tayo xe buýt bé nhỏ - Tập 40,07:20 - Hương rừng - Đứa con của rừng,02:30 - Siêu mẫu nhí -  ,04:30 - Sao thế giới - Tập 149,06:00 - Phim truyện - Tình là dây oan  - Tập 31,08:00 - Ca nhạc - VZ Playlist - Tập 103,07:00 - Phim truyện - Cẩm tú duyên - Tập 15,09:00 - Phim hoạt hình - Bí ẩn đại dương sâu thẳm  - Tập 8
03:00 - Thời sự 3h -  ,04:00 - Vì sức khỏe người Việt - Yoga cho người cao tuổi,06:45 - S- Việt Nam - Lễ khao lề thế lính Hoàng Sa,04:00 - Giai điệu cuộc sống - Quê hương và nỗi nhớ,04:30 - Phim truyện - Cô nàng xinh đẹp - Tập 16,04:30 - Phim truyện - Cô nàng xinh đẹp - Tập 16,05:15 - Khám phá Việt Nam -  ,05:00 - Khám phá thế giới - 20 tác phẩm nghệ thuật của tự nhiên - Tập 15,09:30 - Trường học VTV7 (Tiểu học) - Sáng tạo 102 - Số 12: Tranh chất liệu; Học cùng con - Số 13: Dinh dưỡng,07:35 - Chuyện làng - Bệnh rầy nâu hại lúa,02:50 - Hương tình yêu -  ,05:00 - Chờ em nơi phi trường - Tập 2,07:00 - Phim truyện - Vòng vây hoa hồng  - Tập 28,09:00 - Phim sitcom - Nè biết gì chưa - Tập 209,08:00 - Phim truyện - Nhà tôi là nhất - Tập 60,09:30 - Phim hoạt hình - Coconut - Chú rồng tinh nghịch  - Tập 12
03:10 - Phim truyện - Tình khúc Bạch Dương - Tập 32,04:15 - Hành trình khám phá - Nơi những chiếc đó ra đời,06:55 - Trái tim cho em - Nỗi đau của mẹ,04:15 - Tinh hoa võ thuật - Các bài quyền đặc sắc của Hội võ Thiên Môn Đạo,05:15 - Khám phá Việt Nam -  ,05:15 - Khám phá Việt Nam -  ,05:30 - Chương trình tiếng Gié Triêng -  ,05:30 - Hôm nay ai đến? - Số 38,10:00 - Trường học VTV7 (Mầm non) - Lớp học cầu vồng - Số 4: Rừng xanh,07:50 - Hôm nay ai đến? - Số 38/2018,03:00 - Gặp nhau để cười -  ,06:00 - Sao thế giới - Tập 149,08:00 - Phim truyện - Ba ơi! Mẹ có về không?  - Tập 34,09:30 - Nghề xưa còn lại - Số 01,09:00 - Phim truyện - Hoa trong ngục - Tập 25,10:00 - Phim hoạt hình - Cô bé bướng bỉnh  - Tập 14
