VTV1,VTV2,VTV3,VTV4,VTV5,VTV5 Tây Nam Bộ,VTV5 Tây Nguyên,VTV6,VTV7,VTV8,VTV9,VTVCab1,VTVCab2 - PhimViet,VTVCab3 - Thể thao TV,VTVCab7 - D Dramas,VTVCab8 - BiBi
00:00 - Thời sự 0h -  ,00:00 - Pháp luật và Cuộc sống - Kiểm tra hành chính người đang tham gia giao thông,00:00 - Nóng cùng World 2018 -  ,00:00 - Bản tin tiếng Việt 0h -  ,00:00 - Phim tài liệu - Dấu tích Sa Huỳnh,00:00 - Phim tài liệu - Dấu tích sa huỳnh,00:00 -  - ,00:00 - Thể thao - Tạp chí bóng đá thế giới,00:00 -  - ,00:00 -  - ,00:00 - Thể thao -  ,00:00 - Chỉ yêu mình em - Tập 83,00:00 -  - ,00:00 - V - League 2018 Vòng 17 - Hải Phòng vs Sông Lam Nghệ An,00:00 - Phim truyện - Phượng mưu hoàng kế - Tập 10,00:00 -  - 
"00:15 - Chuyện đô thị - Giải quyết bất cập, phát triển du lịch Đà Nẵng - Phần 2",00:30 - Phóng sự - Nghề cưa lọng ở Đà lạt,00:30 - Truyền hình trực tiếp - FIFA World Cup 2018: Croatia - Đan Mạch,00:20 - Sức sống thể thao -  ,00:30 - Sống khỏe mỗi ngày - Rối loạn tiêu hóa,00:30 - Sống khỏe mỗi ngày - Rối loạn tiêu hóa,00:30 - Sống khỏe mỗi ngày - Rối loạn tiêu hóa,00:30 - Trên từng cây số -  ,06:00 - Thức dậy cùng VTV7 -  ,05:00 - Cảm ơn cuộc đời - Cánh cửa nhìn ra vũ trụ,00:30 - Bếp quê -  ,01:00 - Chuyện khó đỡ - Tập 104,00:02 - Phim truyện - Đò dọc - Tập 28,01:30 - Tạp chí danh thủ - Michael Laudrup,01:00 - Phim truyện - Hoa trong ngục - Tập 61,06:00 - Phim hoạt hình - Đội túc cầu thần thánh - Tập 1
00:30 - Sự kiện và bình luận - Cảnh báo lũ quét,00:45 - Khám phá thế giới - Thám tử thức ăn – Tập 2,04:30 - Hãy chọn giá đúng -  ,00:25 - Thời tiết du lịch -  ,01:00 - Khám phá thế giới - Trái đất nhìn từ trên cao - Tập 2,01:00 - Khám phá thế giới - Trái đất nhìn từ trên cao - Phần 2,01:00 - Khám phá thế giới - Sardinia - Hòn đảo diệu kỳ giữa Địa Trung Hải,01:00 - Phim truyện - Nơi ẩn nấp bình yên - Tập 1,07:00 - Crack'em up - Số 14,05:15 - Nhìn thẳng - Khát bên những công trình nước sạch tiền tỷ,00:40 - Tình khúc vượt thời gian - Một cõi tình phai,02:00 - Kì tích kiến trúc của loài vật - Tập 1,01:00 - Phim truyện - Sức nặng tình thâm - Tập 29,02:00 - Thể thao tổng hợp - Omnisport ( ENG),02:00 - Phim truyện - Kẻ phụ tình - Tập 37,06:30 - Phim hoạt hình - Pokemon - Phần 1 - Tập 10
01:00 - Thời sự 1h -  ,01:30 - Phim truyện - Vòng xoáy vương quyền - Tập 21,05:10 - Vui - khỏe - có ích -  ,00:30 - Vui sống mỗi ngày -  ,02:00 - Đường lên đỉnh Olympia -  ,02:00 - Đường lên đỉnh Olympia -  ,02:00 - Bố ơi! Mình đi đâu thế? -  ,01:45 - Bảng xếp hạng âm nhạc Hàn Quốc -  ,07:30 - Đường đến trường - Khanh,05:25 - Chào buổi sáng Bông lúa -  ,02:00 - Xe và phong cách -  ,02:30 - Sắc đẹp tội lỗi - Tập 9,02:00 - Phim truyện - Nhà trọ có 4 cô chiêu - Tập 35,02:30 - WTA Tour 2018 The International Eastbourne - Chung kết,03:00 - Phim truyện - Phượng mưu hoàng kế - Tập 11,07:00 - Nhảy cùng BiBi - Số 5
01:10 - Chìa khoá thành công - Doanh nghiệp gia đình - Nền tảng vững bền - Phần 1,02:25 - Đẹp 24/7 - Tập đùi tại nhà cho nam giới,06:00 - Nhịp đập 360 độ thể thao -  ,01:15 - Người Việt bốn phương -  ,02:45 - Thông tin chính sách và pháp luật -  ,02:45 - Thông tin chính sách và pháp luật -  ,"03:00 - Phim hoạt hình - Farhat 2 - Hoàng tử Farhat và viên pha lê bọ cạp - Tập 25,26",02:15 - Khám phá thế giới - Những cuộc di cư lớn của tự nhiên – Tập 2,07:45 - Người truyền cảm hứng - Số 1: Lớp học có ô cửa màu xanh,06:00 - Chào ngày mới -  ,02:15 - Góc nhìn đa chiều -  ,03:30 - Kiến tạo nhịp cầu mùa 4 - Tập 3,03:00 - Phim truyện - Chàng rễ ngoại quốc - Tập 4,04:00 - VBA 2018 Game 9 - Saigon Heat vs Cantho Catfish,04:00 - Phim truyện - Nhà tôi là nhất - Tập 96,07:30 - Phim hoạt hình - Truy tìm cổ vật - Tập 3
02:00 - Thời sự 2h -  ,02:30 - Khám phá thế giới - Khám phá Địa Trung Hải – Tập 1,06:45 - S- Việt Nam - Dạo chơi nhà vườn xứ Huế,01:30 - Phim truyện - Sống chung với mẹ chồng - Tập 8,"03:00 - Phim hoạt hình - Mongini - Giấc mơ ngôi sao - Tập 27,28","03:00 - Phim hoạt hình - Mongini - Giấc mơ ngôi sao - Tập 27, 28",03:30 - Ca nhạc -  ,03:00 - Hôm nay ai đến? -  ,08:00 - Mẹ ơi tại sao - Số 5: Khái niệm khó,06:30 - Thông tin - Thông báo -  ,03:00 - Gặp nhau để cười -  ,04:00 - Sao thế giới - Tập 155,04:00 - Phim truyện - Hoàng hôn dịu dàng - Tập 51,05:45 - Giấc mơ thể thao - Vovinam Cao Bằng,05:00 - Phim truyện - Con riêng của mẹ - Tập 39,08:00 - Phim hoạt hình - Thuyền trưởng Flinn và đội quân hải tặc - Tập 2
02:10 - Phim truyện - Thế lực cạnh tranh - Tập 46,03:15 - Chuyến xe buýt kỳ thú - Hưng Yên - Trên những con đường mới,06:55 - Quà tặng cuộc sống - Chú sao la,02:15 - Tinh hoa võ thuật - Võ sư Hoàng Minh Tuấn,03:30 - Ca nhạc -  ,03:30 - Ca nhạc -  ,04:00 - Văn học nghệ thuật - Soạn giả với những cung đàn,03:30 - Thể thao - Tạp chí bóng đá thế giới,08:15 - Baby on the way - Số 5: Mondy và tớ,06:35 - Phim truyện - Nỗi lòng mẹ kế - Tập 38,03:10 - Nhìn ra thế giới - Sứ giả của thời trang,04:30 - Kì tích kiến trúc của loài vật - Tập 1,05:00 - Phim truyện - Tơ đồng vương vấn - Tập 13,06:00 - V - League 2018Vòng 17 - Quảng Nam - Hoàng Anh Gia Lai,06:00 - Phim truyện - Kẻ phụ tình - Tập 38,08:30 - Phim hoạt hình - Lũ trẻ tinh nghịch - Tập 16
03:00 - Thời sự 3h -  ,04:00 - Đi đâu ? ăn gì ? - Vĩnh Phúc - Điểm đến cuối tuần,07:00 - Cà phê sáng -  ,02:30 - Giai điệu cuộc sống - MV của bạn,04:00 - Văn học nghệ thuật - Soạn giả với những cung đàn,04:00 - Văn học nghệ thuật - Soạn giả với những cung đàn,04:30 - Phim truyện - Hạnh phúc duyên đưa - Tập 44,04:00 - Phim truyện - Ranh giới thiện ác - Tập 25,08:30 - Chuyện học trò - Số 5: Bí kíp làm việc nhóm,07:20 - Ký sự -  ,03:55 - Sống với thiên nhiên - Xây nhà chống bão - Vấn đề cần quan tâm,05:00 - Bác sĩ ma cà rồng - Tập 15,06:00 - Phim truyện - Đò dọc - Tập 29,07:30 - NBA Action 26 - 18 -  ,07:00 - Phim truyện - Phượng mưu hoàng kế - Tập 12,09:00 - Nhảy cùng BiBi - Số 6
03:10 - Diễn đàn Văn học nghệ thuật - Đề tài của điện ảnh những năm gần đây,04:30 - Khám phá thế giới - Sống cùng sư tử - Tập 13,07:55 - Mỗi ngày một niềm vui -  ,03:00 - Bản tin tiếng Pháp -  ,04:30 - Phim truyện - Hoa thiên cốt - Tập 29,04:30 - Phim truyện - Hoa Thiên Cốt - Tập 29,05:15 - Khám phá Việt Nam -  ,04:45 - Khám phá Việt Nam - Văn miếu Bắc Ninh,09:00 - Phim hoạt hình - Tayo xe buýt bé nhỏ - Tập 51,07:35 - Con đường di sản - Vịnh Hạ Long trên cao nguyên,04:15 - Cẩm nang sức khỏe -  ,06:00 - Chuyện khó đỡ - Tập 1,07:00 - Phim truyện - Sức nặng tình thâm - Tập 30,08:00 - Tạp chí danh thủ - Michael Laudrup,08:00 - Phim truyện - Nhà tôi là nhất - Tập 97,09:30 - Phim hoạt hình - Coconut - Chú rồng tinh nghịch - Tập 19
