VTV1,VTV2,VTV3,VTV4,VTV5,VTV5 Tây Nam Bộ,VTV5 Tây Nguyên,VTV6,VTV7,VTV8,VTV9,VTVCab1,VTVCab17 - Yeah 1,VTVCab2 - PhimViet,VTVCab3 - Thể thao TV,VTVCab6 - HayTV,VTVCab7 - D Dramas
00:00 - Thời sự 0h -  ,00:00 - Pháp luật và Cuộc sống - Cho vay nặng lãi vấn nạn đau lòng,00:00 - Phim truyện - Quỹ đen của chồng - Tập 15,00:00 - Bản tin tiếng Việt 0h -  ,00:00 - Phim tài liệu - U Minh một cõi đi về,00:00 - Phim tài liệu - U Minh một cõi đi về,00:00 - Phim tài liệu - U Minh một cõi đi về,00:00 -  - ,00:00 -  - ,00:00 -  - ,00:00 - Thể thao -  ,00:00 - Chỉ yêu mình em - Tập 93,00:00 - 360 độ Thời trang - Số 27,00:00 -  - ,00:00 - ATP World Tour 500 Aegon Championships - LONDON - Chung kết,00:00 - Hương vị cuộc sống - Tập 13,00:00 - Phim truyện - Phượng mưu hoàng kế - Tập 24
00:15 - Chuyện đô thị - Chuyện về trung tâm cấp cứu 115,00:30 - Phóng sự - Áo bông chần,00:50 - Khám phá thế giới - Trường học hoang dã - Tập 6,00:20 - Sức sống thể thao -  ,"00:30 - Bạn của nhà nông - Bảo vệ sức khỏe gia súc, gia cầm trong mùa nắng nóng","00:30 - Bạn của nhà nông - Bảo vệ sức khỏe gia súc, gia cầm trong mùa nắng nóng","00:30 - Bạn nhà nông - Bảo vệ sức khỏe gia súc, gia cầm mùa nắng nóng",00:30 - Trên từng cây số -  ,06:00 - Thức dậy cùng VTV7 -  ,05:00 - Cảm ơn cuộc đời - Sau bão giông,00:30 - Chuyện của sao -  ,01:00 - Chuyện khó đỡ - Tập 4,00:30 - MV -  ,00:02 - Phim truyện - Nợ ân tình - Tập 10,01:30 - Tạp chí danh thủ - Peter Schmeichel,01:00 - Hương vị cuộc sống - Tập 14,01:00 - Phim truyện - Hoa trong ngục - Tập 75
00:30 - Sự kiện và bình luận -  ,00:45 - Khám phá thế giới - Hồ sơ chưa giải mã - Tập 13,01:20 - Bố ơi! Mình đi đâu thế? -  ,00:25 - Thời tiết du lịch -  ,01:00 - Khám phá thế giới - Con tàu trái đất - Tập 4,01:00 - Khám phá thế giới - Con tàu trái đất - Phần 4,01:00 - Khám phá thế giới - Thiên đường cuối cùng - Tập 10,01:00 - Phim truyện - Nơi ẩn nấp bình yên - Tập 10,07:00 - Crack'em up - Số 11,"05:15 - Nhìn thẳng - Tái định cư thủy điện, ""trăm dâu đổ đầu tằm""",00:40 - Sol vàng -  ,02:00 - Kì tích kiến trúc của loài vật - Tập 3,01:00 - Yeah1 on stage - Số 28,01:00 - Phim truyện - Thiếu gia nhà nghèo - Tập 11,02:00 - Thể thao tổng hợp - Omnisport ( ENG),02:00 - Phim sitcom - Nè biết gì chưa - Tập 217,02:00 - Phim truyện - Con tim dẫn lối - Tập 13
01:00 - Thời sự 1h -  ,01:30 - Phim truyện - Vòng xoáy vương quyền - Tập 35,02:10 - Bí mật của tạo hóa - Huấn luyện viên xiếc thú,00:30 - Vui sống mỗi ngày -  ,02:00 - Đường lên đỉnh Olympia -  ,02:00 - Đường lên đỉnh Olympia -  ,"02:00 - Bố ơi, mình đi đâu thế? -  ",01:45 - Bảng xếp hạng âm nhạc Hàn Quốc -  ,07:30 - Đường đến trường - 69731 = 69713,05:25 - Chào buổi sáng Bông lúa -  ,02:00 - Xe và phong cách -  ,02:30 - Sắc đẹp tội lỗi - Tập 23,02:00 - Bữa cơm cho mẹ - Số 3,02:00 - Phim truyện - Kẻ thù phụ nữ - Tập 10,02:30 - V - League 2018 Vòng 19 - Sanna Khánh Hoà BVN vs Sài Gòn,02:30 - Quê nhà tôi ơi - Số 03,03:00 - Phim truyện - Phượng mưu hoàng kế - Tập 25
01:10 - Chìa khoá thành công - Khởi nghiệp - Hoạch định đường xa - Phần 1,02:15 - Góc nhìn công thương - Vật liệu xây dựng bền vững,"03:00 - Phim truyện - Vẫn là Oh Hae Young - Tập 15, 16",01:15 - Người Việt bốn phương -  ,02:45 - Thông tin chính sách & pháp luật -  ,02:45 - Thông tin chính sách và pháp luật -  ,"03:00 - Phim hoạt hình - Thám tử học đường - Tập 01, 02",02:15 - Khám phá thế giới - Trái đất: Ngôi nhà chung - Tập 4,07:45 - Người truyền cảm hứng - Số 9: Lớp học của người thầy quân hàm xanh,06:00 - Chào ngày mới -  ,02:15 - Góc nhìn đa chiều -  ,03:30 - Kiến tạo nhịp cầu mùa 4 - Tập 5,02:30 - MV -  ,03:00 - Phim truyện - Chàng rễ ngoại quốc - Tập 18,04:00 - NBA 2017/2018 Chung kết Game 1 - Golden State vs Cleveland,03:00 - Ca nhạc - VZ Playlist - Tập 120,04:00 - Phim truyện - Thêm một lần cuối - Tập 7
02:00 - Thời sự 2h -  ,02:30 - Khám phá thế giới - Hành trình của nhà tự nhiên học - Tập 6,04:30 - Hãy chọn giá đúng -  ,01:30 - Phim truyện - Sống chung với mẹ chồng - Tập 16,"03:00 - Phim hoạt hình - Cặp đôi siêu quậy - Tập 3, 4","03:00 - Phim hoạt hình - Cặp đôi siêu quậy - Tập 3, 4",03:30 - Ca nhạc -  ,03:00 - Hôm nay ai đến? -  ,08:00 - Mẹ ơi tại sao - Số 9: Âm nhạc kết nối mẹ và bé,06:30 - Thông tin - Thông báo -  ,03:00 - Gặp nhau để cười -  ,04:00 - Sao thế giới - Tập 157,03:00 - Siêu thị âm nhạc - Số 142,04:00 - Phim truyện - Hot girl làm vợ - Tập 13,05:45 - Gương mặt mỗi tuần - Trần Quốc Phi,04:00 - Nghịch cảnh - Tập 51,05:00 - Phim truyện - Con riêng của mẹ - Tập 53
02:10 - Phim truyện - Bố là trụ cột - Tập 4,"03:15 - Chuyến xe buýt kỳ thú - Hải Dương, sôi nổi với công nhân Cẩm Giàng",05:10 - Vui - khỏe - có ích -  ,02:15 - Tinh hoa võ thuật - Đối luyện Mai hoa thung,03:30 - Ca nhạc -  ,03:30 - Ca nhạc -  ,04:00 - Sản vật phương Nam - Yến sào Gò Công,03:30 - Thể thao - Tạp chí bóng đá thế giới,08:15 - Baby on the way - Số 4: Tớ là anh cả,06:35 - Phim truyện - Nỗi lòng mẹ kế - Tập 52,03:10 - Nhìn ra thế giới - Lớn lên trong hoang dã,04:30 - Kì tích kiến trúc của loài vật - Tập 3,04:00 - Cha con hợp sức - Số 3,05:00 - Phim truyện - Hãy nói về tình yêu - Tập 7,06:00 - V - League 2018 Vòng 19 - Hà Nội - Nam Định,05:00 - Hương vị cuộc sống - Tập 15,06:00 - Phim truyện - Con tim dẫn lối - Tập 14
03:00 - Thời sự 3h -  ,04:00 - Đi đâu ? ăn gì ? - Mùa vàng Tam Cốc,06:00 - Nhịp đập 360 độ thể thao -  ,02:30 - Giai điệu cuộc sống - Lục bình tím,04:00 - Sản vật phương Nam - Yến sào Gò Công,04:00 - Sản vật phương Nam - Yến sào Gò Công,"04:15 - Việt Nam, đất nước, con người - Người Mường",04:00 - Phim truyện - Nơi ẩn nấp bình yên - Tập 11,08:30 - Chuyện học trò - Số 9: Nhà báo tập sự,07:20 - Ký sự -  ,03:55 - Sống với thiên nhiên - Giữ nước ở đảo Phú Quý,05:00 - Bác sĩ ma cà rồng - Tập 29,04:30 - Yeah1 on stage - Số 28,06:00 - Phim truyện - Nợ ân tình - Tập 11,07:30 - Tạp chí Olympic - Khoảnh khắc vàng Châu Á - Phần 1,06:00 - Hương vị cuộc sống - Tập 16,07:00 - Phim truyện - Phượng mưu hoàng kế - Tập 26
03:10 - Diễn đàn Văn học nghệ thuật -  ,04:30 - Khám phá thế giới - Hành tinh nổi giận - Tập 11,06:45 - S- Việt Nam - Đại Ninh làng của những ngôi chùa,02:55 - Nét đẹp dân gian - Một ngày ở làng hoa Vạn Thành,04:15 - Việt nam đất nước con người - Người Mường,04:30 - Phim truyện - Hoa Thiên Cốt - Tập 43,04:30 - Phim truyện - Tháng ngày tươi đẹp - Tập 14,04:45 - Khám phá Việt Nam - Người truyền dạy vũ điệu Sila,09:00 - Phim hoạt hình - Tayo xe buýt bé nhỏ - Tập 3,07:35 - Con đường di sản - Dấu tích hoàng triều cương thổ trên cao nguyên,04:15 - Cẩm nang sức khỏe -  ,06:00 - Chuyện khó đỡ - Tập 5,05:30 - Lớp học vui nhộn nhí - Số 39,07:00 - Phim truyện - Thiếu gia nhà nghèo - Tập 12,08:00 - Tạp chí danh thủ - Peter Schmeichel,07:00 - Đội đặc nhiệm CID - Tập 184,08:00 - Phim truyện - Thêm một lần cuối - Tập 8
