VTV1,VTV2,VTV3,VTV4,VTV6,VTV7,VTV8,VTV9,VTVCab2 - PhimViet,VTVCab7 - D Dramas
00:00 - Thời sự 0h -  ,00:00 - 360 độ Nhật Bản -  ,00:00 - Phim truyện - Mặt nạ - Tập 20,00:00 - Bản tin tiêng Việt 0h -  ,00:00 -  - ,00:00 -  - ,00:00 -  - ,00:00 - Thể thao -  ,00:00 -  - ,00:00 - Phim truyện - Bích huyết thư - Tập 22
00:15 - Tiếng nói phụ nữ - Vì cộng đồng bền vững,00:30 - Phóng sự - Sách Kinh lá Buông của người Khmer,00:50 - Khám phá thế giới - Ngôi nhà mơ ước - Tập 1,00:20 - Sức sống thể thao -  ,00:30 - Phim truyện -  ,06:00 - Thức dậy cùng VTV7 -  ,05:00 - Ký sự -  ,00:30 - Hương tình yêu -  ,00:02 - Phim truyện - Ánh sáng thiên đường - Tập 32,01:00 - Phim truyện - Bức họa vương quyền - Tập 51
00:30 - Ấn tượng thể thao 7 ngày -  ,00:45 - Khám phá thế giới - Khám phá Địa Trung Hải – Tập 1,01:20 - Thương vụ bạc tỷ -  ,00:25 - Thời tiết du lịch -  ,01:45 - Bảng xếp hạng âm nhạc Hàn Quốc -  ,07:00 - Crack'em up - Số 7,05:15 - Kết nối miền Trung -  ,"00:40 - X-Show - Khám phá Sông Chày, hang Tối (Quảng Bình)",01:00 - Phim truyện - Khát vọng xanh - Tập 31,02:00 - Phim truyện - Đuổi bắt tình yêu - Tập 30
01:00 - Thời sự 1h -  ,01:30 - Phim truyện - Tráng sĩ xuất quân - Tập 1,02:10 - Chuyện đêm muộn - Cá tính và sự nổi loạn,00:30 - Vui sống mỗi ngày -  ,02:15 - Khám phá thế giới - Phiêu lưu trong khoa học - Tập 8,07:30 - Nghệ nhân - Đi xa để trở về,05:30 - Chào buổi sáng -  ,01:00 - Luôn có cách để yêu thương - Chữ nhẫn trong hôn nhân,02:00 - Phim truyện - Con gái ông trùm - Tập 23,03:00 - Phim truyện - Bích huyết thư - Tập 23
01:10 - Hành trình di sản - Mù Cang Chải Trên đỉnh Hoàng Liên,02:15 - Ngôi nhà giới tính -  ,"03:00 - Phim truyện - Lọ Lem và 4 chàng kỵ sĩ - Tập 15, 16",01:15 - Người Việt bốn phương -  ,03:00 - Hôm nay ai đến? -  ,07:45 - Đổi mới sáng tạo - Số 26: Học môn công nghệ tích hợp,06:00 - Chào ngày mới -  ,01:30 - Khám phá thế giới - Vườn quốc gia nước Mỹ - Tập 22,03:00 - Phim truyện - Tôi yêu cô đơn - Tập 3,04:00 - Phim truyện - Quỷ bà cảnh sát 2 - Tập 5
02:00 - Thời sự 2h -  ,02:30 - Khám phá thế giới - Di sản thế giới – Tập 3,04:30 - Vui - khoẻ - có ích -  ,01:30 - Phim truyện - Ngược chiều nước mắt - Tập 14,03:30 - Thể thao -  ,08:00 - Mẹ ơi tại sao - Số 1: Khoa học thú vị,06:30 - Thông tin - Thông báo -  ,02:00 - Tôi người Việt Nam - Người xây tổ ấm,04:00 - Phim truyện - Khúc tương tư - Tập 3,05:00 - Phim truyện - Nàng vợ xuất chúng - Tập 29
02:10 - Phim truyện - Đi tìm tình yêu đích thực - Tập 16,03:15 - Bạn của nhà nông -  ,05:10 - Văn hoá - Sự kiện và Nhân vật -  ,02:15 - Nhịp sống công nghệ -  ,04:00 - Phim truyện -  ,08:15 - Baby on the way - Số 2: Chào mừng đến phòng tớ,06:35 - Phim truyện - Người vợ 100 ngày - Tập 14,02:20 - Cơm ấm nhà mình -  ,05:00 - Phim truyện - Trại cá sấu - Tập 23,06:00 - Phim truyện - Đuổi bắt tình yêu - Tập 31
03:00 - Thời sự 3h -  ,04:00 - Gia đình 4.0 -  ,06:00 - Nhịp đập 360° thể thao -  ,02:30 - Giai điệu cuộc sống - Dĩ vãng cuộc tình,04:45 - Khám phá Việt Nam - Linh thiêng Tử Trầm Sơn,08:30 - Chuyện học trò - Số 1: Tình yêu tuổi học trờ,07:20 - Ký sự -  ,02:30 - Thanh xuân gia đình -  ,06:00 - Phim truyện - Ánh sáng thiên đường - Tập 33,07:00 - Phim truyện - Bích huyết thư - Tập 24
03:10 - Phim truyện - Trang trại hoa hồng - Tập 4,04:30 - Khám phá thế giới - Những chuyến di cư thời hiện đại – Tập 11,06:45 - S- Việt Nam -  ,02:55 - Nét đẹp dân gian - Đàn bầu nhạc cụ độc nhất vô nhị của Việt Nam,05:00 - Khám phá thế giới - Hành tinh nổi giận - Tập 22,09:00 - Phim hoạt hình - Bánh mỳ mây - Tập 8,07:35 - Quốc gia khởi nghiệp -  ,03:00 - Gặp nhau để cười -  ,07:00 - Phim truyện - Khát vọng xanh - Tập 32,08:00 - Phim truyện - Quỷ bà cảnh sát 2 - Tập 6
04:00 - Thời sự 4h -  ,05:00 - Khoảng trời riêng - Hành trình đến ĐH Yale,06:55 - Quà tặng cuộc sống - Ngọn đèn biển,03:00 - Bản tin tiếng Pháp -  ,05:30 - Hôm nay ai đến? -  ,09:10 - Phim hoạt hình - Những người bạn ở sở thú - Tập 13,08:00 - Phim truyện - Ngoại tình với vợ - Tập 40,03:10 - Nhìn ra thế giới - Nghệ thuật cuộc sống - Tập 3,08:00 - Phim truyện - Con gái ông trùm - Tập 24,09:00 - Phim truyện - Bức họa vương quyền - Tập 52
